employee_id,name,department,position,hire_date,salary_band
E001,陈明,研发,后端工程师,2021-03-15,A
E002,林芳,研发,前端工程师,2022-01-10,B
E003,王磊,研发,后端工程师,2020-07-01,A
E004,张敏,产品,产品经理,2021-11-20,B
E005,刘洋,研发,运维工程师,2019-05-08,A
E006,赵静,设计,UI 设计师,2022-06-01,C
E007,周杰,研发,前端工程师,2023-02-14,C
E008,吴倩,市场,市场专员,2021-09-01,B
E009,郑浩,研发,后端工程师,2022-03-22,B
E010,孙丽,人事,HR 专员,2020-12-01,B
E011,钱斌,研发,测试工程师,2022-08-15,C
E012,李娜,产品,产品助理,2023-04-10,C
E013,黄涛,市场,市场经理,2019-08-20,A
E014,冯雪,设计,视觉设计师,2021-04-12,B
E015,徐刚,研发,架构师,2018-11-05,A
